LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-16.1,145.9,1988-01-01T00:00:00Z
-18.1,147.2,1988-01-01T00:00:00Z
-19.9,148.6,1988-01-01T00:00:00Z
-21.9,151.7,1988-01-01T00:00:00Z
-17.8,146.3,1988-01-01T00:00:00Z
-18.4,147.4,1988-01-01T00:00:00Z
-19.3,147.3,1988-01-01T00:00:00Z
-16.4,145.6,1988-01-01T00:00:00Z
-17.3,146.3,1988-01-01T00:00:00Z
-18.1,146.6,1988-01-01T00:00:00Z
-21.7,151.8,1988-01-01T00:00:00Z
-18.2,147.1,1988-01-01T00:00:00Z
-16.6,145.8,1988-01-01T00:00:00Z
-14.6,145.4,1988-01-01T00:00:00Z
-18.5,146.8,1988-01-01T00:00:00Z
-14.7,145.6,1988-01-01T00:00:00Z
-19.1,147.2,1988-01-01T00:00:00Z
-21.7,152.1,1988-01-01T00:00:00Z
-43.25278,148.0094,1971-12-01T00:00:00Z
-42.27944,148.4686,1971-08-01T00:00:00Z
-42.27667,148.785,1972-11-01T00:00:00Z
-42.28583,148.4697,1972-11-01T00:00:00Z
-43.25361,148.4883,1972-10-01T00:00:00Z
-42.67778,148.0928,1971-12-01T00:00:00Z
-42.68083,148.4181,1972-10-01T00:00:00Z
-43.25472,148.0242,1972-11-01T00:00:00Z
-42.675,148.24,1973-05-01T00:00:00Z
-42.26306,148.7872,1971-12-01T00:00:00Z
-43.24444,148.3528,1972-08-01T00:00:00Z
-42.67111,148.5761,1972-10-01T00:00:00Z
-43.26361,148.3233,1972-10-01T00:00:00Z
-42.27556,148.6347,1972-06-01T00:00:00Z
-35.01,118.5997,1993-01-13T00:00:00Z
-34.34,119.5398,1993-01-16T00:00:00Z
-34.17,121.08,1993-01-14T00:00:00Z
-35.0803,117.2704,1992-07-23T00:00:00Z
-35.1802,118.14,1992-07-21T00:00:00Z
-34.3304,118.5005,1992-07-23T00:00:00Z
-33.5502,121.1303,1992-07-23T00:00:00Z
-30.8333,115.4333,1997-12-01T00:00:00Z
-30.8333,115.4333,1998-03-01T00:00:00Z
-30.8333,115.4833,1998-05-01T00:00:00Z
-30.8333,115.3833,1998-06-01T00:00:00Z
-30.8333,115.4333,1998-12-01T00:00:00Z
-30.8333,115.5333,1997-06-01T00:00:00Z
-30.8333,115.6833,1998-03-01T00:00:00Z
-30.8333,115.6833,1998-05-01T00:00:00Z
-30.8333,115.5833,1998-06-01T00:00:00Z
-30.8333,115.6333,1997-12-01T00:00:00Z
-30.8333,115.6333,1997-04-01T00:00:00Z
-30.8333,115.6333,1997-09-01T00:00:00Z
-30.8333,115.4833,1998-07-01T00:00:00Z
-30.8333,115.5333,1997-01-01T00:00:00Z
-30.8333,115.5333,1997-12-01T00:00:00Z
-41.5,148.608,2006-06-01T00:00:00Z
-39.333,148.617,2005-06-01T00:00:00Z
-41,148.7,2005-06-01T00:00:00Z
-40.833,148.75,2005-06-01T00:00:00Z
-40.333,148.767,2005-06-01T00:00:00Z
-39,148.467,2005-06-01T00:00:00Z
-43.717,147.833,2006-06-01T00:00:00Z
-43.85,146.417,2006-06-01T00:00:00Z
-41.5,148.783,2006-06-01T00:00:00Z
-39.667,148.7,2005-06-01T00:00:00Z
-40.5,149.008,2006-06-01T00:00:00Z
-43.733,146.187,2006-06-01T00:00:00Z
-41,148.631,2005-06-01T00:00:00Z
-44.108,146.333,2006-06-01T00:00:00Z
-43.25,148.17,2006-06-01T00:00:00Z
-39,148.583,2005-06-01T00:00:00Z
-44,146.717,2006-06-01T00:00:00Z
-42.833,148.347,2005-06-01T00:00:00Z
-21.62,114.16,1997-12-28T09:10:00Z
-21.83,114.51,1997-12-29T08:54:00Z
-21.83,114.51,1998-01-01T09:35:00Z
-21.83,114.51,1998-01-29T09:00:00Z
-21.83,114.51,1999-01-18T08:15:00Z
-16.681,145.172,2001-02-03T00:00:00Z
-16.26,145.189,2002-03-11T00:00:00Z
-20.2455,149.17,2014-06-01T15:00:00Z
-20.2448,149.171,2014-06-01T09:11:00Z
-11.548,136.82,2011-12-06T16:00:00Z
-10.935,134.675,2011-12-04T14:00:00Z
-5.52802,146.15573,2009-01-30T15:23:00Z
-5.49154,146.0369,2009-02-05T20:23:00Z
-5.55282,146.34233,2009-02-02T11:40:00Z
-15.96833,124.38967,2011-01-23T11:00:00Z
-14.02655,121.91682,2009-06-09T00:00:00Z
-27.07742,153.23643,2011-02-27T10:23:54Z
-27.21137,153.23177,2011-12-18T13:43:01Z
-16.17667,124.1263,2011-01-26T17:07:00Z
-16.08667,124.16,2011-10-16T10:16:00Z
-16.18,124.12633,2011-01-26T14:00:00Z
-35.69561,139.162545,2012-11-01T00:00:00Z
-35.79604667,139.398055,2012-09-01T00:00:00Z
-36.16101333,139.647165,2012-08-01T00:00:00Z
-36.07054833,139.5986717,2012-08-01T00:00:00Z
-3.099955,152.64814,2006-11-05T12:29:54Z
-12.5372,130.96654,2003-02-25T00:00:00Z
-12.47041,130.79913,2004-07-14T00:00:00Z
-12.46833,130.79666,2004-02-15T00:00:00Z
-12.46856,130.79708,2004-10-20T00:00:00Z
-12.50384,130.90429,2004-02-17T00:00:00Z
-12.50033,130.90467,2003-06-26T00:00:00Z
-12.53708,130.9675,2003-12-03T00:00:00Z
-12.36668,130.71546,2003-09-19T00:00:00Z
-12.71676,130.94558,2003-06-25T00:00:00Z
-27.07782,153.2363,2011-01-28T10:42:56Z
-27.33017,153.18065,2011-05-27T09:55:02Z
-27.15647,153.22123,2011-12-19T12:34:03Z
-27.3038,153.19557,2011-05-26T13:50:56Z
-12.65,141.617,1986-10-03T00:00:00Z
-12.85,141.567,1988-04-14T00:00:00Z
-12.65,141.55,1988-04-14T00:00:00Z
-12.65,141.667,1989-03-07T00:00:00Z
-12.733,141.65,1988-10-07T00:00:00Z
-12.8,141.7,1988-10-07T00:00:00Z
-12.717,141.717,1988-10-09T00:00:00Z
-12.717,141.717,1988-03-18T00:00:00Z
-12.8,141.7,1990-10-16T00:00:00Z
-12.833,141.65,1991-01-17T00:00:00Z
-12.55,141.55,1991-02-15T00:00:00Z
-12.833,141.65,1989-10-31T00:00:00Z
-12.717,141.717,1989-12-01T00:00:00Z
-12.633,141.717,1990-01-26T00:00:00Z
-12.733,141.65,1992-02-05T00:00:00Z
-12.55,141.55,1992-03-04T00:00:00Z
-12.75,141.467,1986-04-10T00:00:00Z
-12.65,141.55,1988-03-19T00:00:00Z
-12.633,141.717,1988-01-21T00:00:00Z
-12.55,141.45,1992-03-04T00:00:00Z
-12.85,141.567,1989-01-12T00:00:00Z
-12.717,141.717,1989-02-07T00:00:00Z
-12.717,141.717,1988-10-07T00:00:00Z
-12.8,141.7,1988-11-10T00:00:00Z
-12.717,141.717,1988-11-12T00:00:00Z
-12.65,141.667,1988-03-18T00:00:00Z
-12.65,141.55,1989-08-30T00:00:00Z
