PROJECTNAME,TRIP_CODE,STATION,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS,PHB20170716,Port Hacking,151.22667,-34.11923,2017-07-17 09:42:00,5.80663,FPZ
NRS,PHB20170921,Port Hacking,151.22667,-34.11923,2017-09-22 08:48:00,16.79751,FPZ
NRS,PHB20171211,Port Hacking,151.22667,-34.11923,2017-12-12 08:54:00,23.96916,FPZ
NRS,PHB20180221,Port Hacking,151.22667,-34.11923,2018-02-22 09:18:00,17.35978,FPZ
NRS,PHB20140515,Port Hacking,151.22667,-34.11923,2014-05-16 09:35:00,4.44515,Z
NRS,PHB20180528,Port Hacking,151.22667,-34.11923,2018-05-29 09:50:00,17.22186,PZ
NRS,PHB20170419,Port Hacking,151.22667,-34.11923,2017-04-19 10:00:00,9.12723,Z
NRS,PHB20140824,Port Hacking,151.22667,-34.11923,2014-08-25 09:57:00,5.10997,PZ
NRS,ROT20100315,Rottnest Island,115.41667,-32,2010-03-15 10:00:00,74.29411,PZ
NRS,ROT20100520,Rottnest Island,115.41667,-32,2010-05-20 10:05:00,6.01959,PZ
NRS,ROT20100924,Rottnest Island,115.41667,-32,2010-09-24 12:22:00,6.64041,PZ
NRS,ROT20101124,Rottnest Island,115.41667,-32,2010-11-24 11:07:00,10.92329,PZ
NRS,ROT20141216,Rottnest Island,115.41667,-32,2014-12-16 09:37:00,10.51465,Z
NRS,ROT20151215,Rottnest Island,115.41667,-32,2015-12-15 08:22:00,7.35554,PZ
NRS,ROT20161214,Rottnest Island,115.41667,-32,2016-12-14 09:35:00,9.66122,FPZ
NRS,ROT20180831,Rottnest Island,115.41667,-32,2018-08-31 10:07:00,38.38869,FPZ
NRS,ROT20191011,Rottnest Island,115.41667,-32,2019-10-11 10:07:00,53.99073,FPZ
NRS,ROT20140519,Rottnest Island,115.41667,-32,2014-05-19 12:22:00,6.82902,PZ
NRS,ROT20181130,Rottnest Island,115.41667,-32,2018-11-30 09:33:00,11.40266,FPZ
NRS,ROT20160324,Rottnest Island,115.41667,-32,2016-03-24 09:47:00,5.34376,FPZ
NRS,ROT20190221,Rottnest Island,115.41667,-32,2019-02-21 09:30:00,8.74649,FPZ
NRS,ROT20190621,Rottnest Island,115.41667,-32,2019-06-21 09:15:00,3.76421,FPZ
NRS,ROT20171123,Rottnest Island,115.41667,-32,2017-11-23 10:05:00,13.44569,FPZ
NRS,ROT20160722,Rottnest Island,115.41667,-32,2016-07-22 13:20:00,20.89571,FZ
NRS,ROT20180727,Rottnest Island,115.41667,-32,2018-07-27 09:33:00,18.29455,FPZ
NRS,ROT20200814,Rottnest Island,115.41667,-32,2020-08-14 09:21:00,11.72289,Z
NRS,YON20101101,Yongala,147.61842,-19.30847,2010-11-01 11:45:00,8.55516,PZ
NRS,YON20110720,Yongala,147.61842,-19.30847,2011-07-20 11:37:00,8.37953,PZ
NRS,YON20120816,Yongala,147.61842,-19.30847,2012-08-16 00:00:00,4.13477,PZ
NRS,YON20121026,Yongala,147.61842,-19.30847,2012-10-26 11:20:00,19.31373,PZ
NRS,YON20121219,Yongala,147.61842,-19.30847,2012-12-19 10:20:00,43.52391,PZ
NRS,YON20150825,Yongala,147.61842,-19.30847,2015-08-25 10:45:00,6.80061,PZ
NRS,YON20151203,Yongala,147.61842,-19.30847,2015-12-03 11:00:00,9.004,PZ
NRS,YON20200422,Yongala,147.61842,-19.30847,2020-04-22 11:24:00,55.15295,PZ
NRS,YON20141120,Yongala,147.61842,-19.30847,2014-11-21 08:48:00,7.00462,PZ
NRS,YON20141014,Yongala,147.61842,-19.30847,2014-10-14 12:02:00,10.62255,PZ
NRS,YON20170120,Yongala,147.61842,-19.30847,2017-01-20 10:00:00,21.88436,PZ
NRS,YON20200926,Yongala,147.61842,-19.30847,2020-09-26 12:33:00,18.49494,PZ
NRS,YON20190124,Yongala,147.61842,-19.30847,2019-01-24 11:12:00,8.04865,PZ
NRS,YON20150324,Yongala,147.61842,-19.30847,2015-03-24 15:15:00,30.20831,PZ
NWS,NWS_1.3,North West Shelf,120.6191,-18.1717,2015-01-18 00:11:02,,P
NWS,NWS_3.1,North West Shelf,120.6191,-18.1717,2015-01-20 00:10:00,,P
NWS,NWS_5.2,North West Shelf,120.6191,-18.1717,2015-01-22 01:16:01,,P
NWS,NWS_7.1,North West Shelf,120.6191,-18.1717,2015-01-22 07:03:00,,P
NWS,NWS_14.1,North West Shelf,120.6191,-18.1717,2015-01-23 22:02:00,,P
IIOE,IIOE20190604,International Indian Ocean Expedition,110,-12.5,2019-06-04 17:00:00,,PZ
IIOE,IIOE20190523,International Indian Ocean Expedition,110,-30.5,2019-05-23 15:40:00,,PZ
IIOE,IIOE20190520,International Indian Ocean Expedition,110,-35.01,2019-05-20 17:22:00,,PZ
IIOE,IIOE20190527,International Indian Ocean Expedition,110,-24.505,2019-05-27 17:26:00,,PZ
SOTS,SOTS20120717,Southern Ocean Time Series,142.25826,-46.93473,2012-07-17 16:30:00,,Z
NRS Ichthyoplankton,NSF20151216,North Stradbroke Ichthyo 30m,153.5802,-27.3889,2015-12-16 10:30:00,,F
