TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Thalassiosira spp. 40-60 µm,2012-08-07,,Pru Bonham 2012-03-01,Larger Thalassiosira previoulsy speciated in NRS samples
Coscinodiscus spp. 60-80 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassiosira oliveriana,2008-09-29,,,
Thalassiothrix antarctica,2008-09-29,,,
Bellerochea spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Trichotoxon reinboldii,2008-09-29,,,
Gonyaulax polygramma,2008-09-29,,,
Dinophysis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Echinoderm spine,2008-09-29,,,
Codonellopsis spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Steenstrupiella cf. steenstrupii,2008-09-29,,,
Podolampas spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia setigera,2015-02-01,Rhizosolenia setigera group,Hobart phytoplankton workshop Feb2015,R. setigera group used previously and still used if unsure of identification
Dadayiella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Emiliania huxleyi,2008-09-29,,,
Eucampia antarctica,2008-09-29,,,
Fragilariopsis curta,2008-09-29,,,
Fragilariopsis kerguelensis,2008-09-29,,,
Fragilariopsis separanda/rhombica,2008-09-29,,,
Fragilariopsis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia cf. tubiformis,2008-09-29,,,
Leptocylindrus mediterraneus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Membraneis challengeri,2008-09-29,,,
Navicula cristata,2008-09-29,,,
Nitzschia bicapitata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Nitzschia cf. bicapitata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Nitzschia longissima,2008-09-29,,,
Pinus pollen,2008-09-29,,,
Podolampus antarcticus,2008-09-29,,,
Proboscia alata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Proboscia inermis,2008-09-29,,,
Proboscia truncata,2008-09-29,,,
Pterosperma polygonum,2008-09-29,,,
Rhizosolenia simplex,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia chunii,2008-09-29,,,
Rhizosolenia hebetata f. semispina,2008-09-29,,,
Thalassiosira spp. 10-20 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassiosira spp. 20-40 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassiosira eccentrica,2008-09-29,,,
Lithodesmium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Tripos contortus,2008-09-29,,,
Salpingella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Pyrophacus vancampoae cyst,2008-09-29,,,
Chaetoceros brevis,2008-09-29,,,
Akashiwo sanguinea,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gymnodinioid dinoflagellate 10-20 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cyanobacteria cluster,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Synedra spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
unid square cells,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 60-80 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros eibenii,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gymnodinioid dinoflagellate 20-30 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros subtilis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp. 100-150 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 100-120 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cerataulina spp. ~150 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Asterionellopsis spp. ~50 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia castracanei,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros simplex,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gymnodinioid dinoflagellate 40-50 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros spp. < 10 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gyrodinium spp. 20-40 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pseudosolenia spp. ~60 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
