SAMPLE,DEPTH_M,SST,CHLA
86-49,0.1121,9.06,0.11875955
93-15,0.1121,9.43,0.167601392
108-69,-56.74333125,12.8,0.697086394
147-30,-2864.768838,5.53,0.135638565
145-15,0.1121,1.85,0.152499005
158-57,0.1121,0.53,0.285262495
159-40,0.1121,1.65,0.532240748
155-15,-2635.986213,6.14,0.199659586
163-74,0.1121,9.33,0.191404939
166-16,0.1121,2.81,0.118956327
169-17,-574.2634875,16.01,0.465433002
177-73,-57.87009375,17.24,0.543954492
178-21,-84.8575,17.22,0.404686093
178-81,-12.549375,19.66,0.699922264
162-27,0.1121,7.81,0.186195567
162-39,-3421.29365,8.17,0.183286607
162-40,-3426.193238,8.19,0.163535789
162-59,-3615.439756,9.77,(null)
163-3,0.1121,11.28,0.46535179
208-14,0.1121,9.38,(null)
207-9,-134.48625,12.68,(null)
189-133,0.1121,17.56,0.27836284
209-67,0.1121,1.01,0.141122073
216-72,-3617.939094,6.52,0.174130693
216-81,0.1121,4.91,0.095189951
215-49,-4374.110138,9.7,0.125400782
220-1,-4456.384206,1.54,(null)
219-38,-4376.059069,3.13,(null)
367-53,-4564.888125,17.31,0.094491273
401-17,-75.04875,15.7593685,0.320923299
239-1,-58.088125,27.89,0.493611306
321-32,-4626.926994,11.84,(null)
315-7,-4353.049119,11.84,0.338075727
316-70,-4412.572769,11.7649242,0.228813678
306-37,-124.996875,14.27,0.315688044
343-33,-825.2575,20.93,0.296193182
139-35,-4427.821581,2.6277022,(null)
148-64,-3984.92685,11.5755492,(null)
150-21,-4061.942519,3.9969383,(null)
141-45,0.1121,(null),(null)
299-85,-38.545625,16.88,0.495075047
221-55,0.1121,12.17,0.239232853
365-13,-71.445,14.63,0.500968277
146-41,0.1121,3.43,0.091723159
146-66,0.1121,3.98,0.119724452
147-73,-3582.819788,8.74,0.133727565
144-6,-2889.26065,5.49,0.124202691
163-56,0.1121,9.8,0.167727411
163-70,0.1121,9.73,0.192763016
166-14,0.1121,2.61,0.095639035
2-33,-2666.720381,18.96,0.397220969
15-13,-1548.229088,22.66,0.2713314
8-34,-3050.90125,19.6545073,(null)
61-1,-809.0718438,22.95,0.281626761
61-25,-387.8908938,24.19,0.150917098
81-25,-460.462625,17.29,0.220014632
88-5,0.1121,3.38,0.143846646
90-9,0.1121,5.21,0.224361494
185-9,-925.7930313,20.73,0.155712932
113-21,-2911.118944,22.02,0.109914228
